nationalInsuranceNumber,lastName,dateOfBirth,nationalAsylumSeekerServiceNumber,group
AB268738D,MPWYQWPXSH,1990-01-01,,RichcBulk
AB702997D,XZJZWWDBHW,1990-01-01,,RichcBulk
AB168840D,UGZPBSFTUN,1990-01-01,,RichcBulk
AB398475D,BOLXTGECHD,1990-01-01,,RichcBulk
AB897915D,LALWKGNJQT,1990-01-01,,RichcBulk
AB765835D,JQCJMCATBP,1990-01-01,,RichcBulk
AB249239D,HKWKOOXGUM,1990-01-01,,RichcBulk
AB114910D,RREOSJSYHM,1990-01-01,,RichcBulk
AB330805D,OQRJHGFOTJ,1990-01-01,,RichcBulk
AB281045D,NMUDMJSUFX,1990-01-01,,RichcBulk
AB112662D,PYEMHINOQD,1990-01-01,,RichcBulk
AB187809D,NPGAFZVEHG,1990-01-01,,RichcBulk
AB830146D,EMOUWVIRAQ,1990-01-01,,RichcBulk
AB842759D,SDDZXOTRUK,1990-01-01,,RichcBulk
AB831051D,RTGJQTIFQY,1990-01-01,,RichcBulk
AB939681D,OULSHVPSIT,1990-01-01,,RichcBulk
AB641222D,HGKOBFQULP,1990-01-01,,RichcBulk
AB286466D,KAZHETBNMY,1990-01-01,,RichcBulk
AB671519D,TWXSKQSHNV,1990-01-01,,RichcBulk
AB760415D,QARFEJHHPW,1990-01-01,,RichcBulk
AB656955D,SAYSZWYSQC,1990-01-01,,RichcBulk
AB918097D,GOBROBFGGS,1990-01-01,,RichcBulk
AB250012D,NGEFCWXDNP,1990-01-01,,RichcBulk
AB230656D,JAFRLPAAEB,1990-01-01,,RichcBulk
AB215073D,WWHHMANCMK,1990-01-01,,RichcBulk
AB534373D,QFZEEFSDNZ,1990-01-01,,RichcBulk
AB923186D,HUKPMKXGSY,1990-01-01,,RichcBulk
AB351599D,WUKTQWSIVB,1990-01-01,,RichcBulk
AB739865D,HYZRRKMBPB,1990-01-01,,RichcBulk
AB522601D,WVKONTEZFH,1990-01-01,,RichcBulk
AB310558D,IUBHNWEDJU,1990-01-01,,RichcBulk
AB434299D,ROMMGNWCLM,1990-01-01,,RichcBulk
AB236206D,GGYRTKDWAV,1990-01-01,,RichcBulk
AB647002D,RDDQHHBKJB,1990-01-01,,RichcBulk
AB478018D,QTZFQVTIBE,1990-01-01,,RichcBulk
AB733976D,LSRQUDHLZR,1990-01-01,,RichcBulk
AB145290D,ZPMJGCKLDZ,1990-01-01,,RichcBulk
AB144574D,TJGBUOOAKU,1990-01-01,,RichcBulk
AB674352D,VSVZNNVQEF,1990-01-01,,RichcBulk
AB885910D,LVIHIJHWIS,1990-01-01,,RichcBulk
AB714777D,XFCVDXQUMY,1990-01-01,,RichcBulk
AB223504D,KGUNUYPUGI,1990-01-01,,RichcBulk
AB565146D,VCWBHFUNKA,1990-01-01,,RichcBulk
AB709089D,ZTBSKWUURM,1990-01-01,,RichcBulk
AB400327D,TJAOBWOFLG,1990-01-01,,RichcBulk
AB247157D,MOOQELJAHE,1990-01-01,,RichcBulk
AB637144D,QHPAFTTSSQ,1990-01-01,,RichcBulk
AB749765D,ILKTWWVZRH,1990-01-01,,RichcBulk
AB502775D,LIFWMBYLQR,1990-01-01,,RichcBulk
AB442751D,QPBHGZQCSK,1990-01-01,,RichcBulk
AB765254D,ARVMLJDKTF,1990-01-01,,RichcBulk
AB987972D,AZDOWYKQTG,1990-01-01,,RichcBulk
AB427925D,AFFCQYTSHH,1990-01-01,,RichcBulk
AB179545D,DBLHYJJQHF,1990-01-01,,RichcBulk
AB918765D,JIYVJBDEVW,1990-01-01,,RichcBulk
AB337436D,IKRGCMQZRT,1990-01-01,,RichcBulk
AB756893D,HJQLKDWZWU,1990-01-01,,RichcBulk
AB478040D,VQDPAXBRME,1990-01-01,,RichcBulk
AB561406D,BJHQVTUCUO,1990-01-01,,RichcBulk
AB950828D,CTAHALEXEE,1990-01-01,,RichcBulk
AB286834D,ICQMHSIVDP,1990-01-01,,RichcBulk
AB988455D,ASWLXYVJQF,1990-01-01,,RichcBulk
AB731141D,TRTRULCDNK,1990-01-01,,RichcBulk
AB949391D,UXAVVMQRQE,1990-01-01,,RichcBulk
AB986519D,QSKWGEQPJB,1990-01-01,,RichcBulk
AB960632D,ONHMNEHBVW,1990-01-01,,RichcBulk
AB974611D,JAJDEOUSJZ,1990-01-01,,RichcBulk
AB896067D,XLKPNXEZJF,1990-01-01,,RichcBulk
AB991408D,IZBJLSEQJH,1990-01-01,,RichcBulk
AB707343D,GGYINKBKFL,1990-01-01,,RichcBulk
AB832680D,PEDSIDYAUC,1990-01-01,,RichcBulk
AB699522D,BVFPHNXHMQ,1990-01-01,,RichcBulk
AB160884D,QCRZPWPWQM,1990-01-01,,RichcBulk
AB111146D,KOALHNNBIX,1990-01-01,,RichcBulk
AB999620D,DQOCCJPWWS,1990-01-01,,RichcBulk
AB700856D,AMXYFGIHGX,1990-01-01,,RichcBulk
AB156536D,PNTPXYAYJK,1990-01-01,,RichcBulk
AB703035D,WLIVUKJLWK,1990-01-01,,RichcBulk
AB540059D,DTGPOZYXWR,1990-01-01,,RichcBulk
AB927341D,KHMJVXEARV,1990-01-01,,RichcBulk
AB780276D,PMHKLAKTIA,1990-01-01,,RichcBulk
AB298802D,VTCFUZLAKL,1990-01-01,,RichcBulk
AB896112D,MJQKHEOHVT,1990-01-01,,RichcBulk
AB784049D,FTTJBTVDNI,1990-01-01,,RichcBulk
AB186867D,HACBZUBFPF,1990-01-01,,RichcBulk
AB308536D,UERFAIVPAQ,1990-01-01,,RichcBulk
AB235429D,AGEELGAAGE,1990-01-01,,RichcBulk
AB953139D,TSGRHLKVDZ,1990-01-01,,RichcBulk
AB259049D,ZRSUNKZCUK,1990-01-01,,RichcBulk
AB940543D,ZASBKGXRDO,1990-01-01,,RichcBulk
AB907255D,SNGYNEERMB,1990-01-01,,RichcBulk
AB529694D,RKJBRMAJBJ,1990-01-01,,RichcBulk
AB728970D,BDXIMSZEMA,1990-01-01,,RichcBulk
AB685319D,VXIXOQZNUT,1990-01-01,,RichcBulk
AB690179D,RNXLKAQRDX,1990-01-01,,RichcBulk
AB917457D,OIEARXZOIK,1990-01-01,,RichcBulk
AB843849D,KHGUYRRZSJ,1990-01-01,,RichcBulk
AB557400D,XPIAUOQFSY,1990-01-01,,RichcBulk
AB648246D,DGFIGPUGDG,1990-01-01,,RichcBulk
AB653959D,ARLYGYAHUN,1990-01-01,,RichcBulk
AB356419D,RDRJEUGXYE,1990-01-01,,RichcBulk
AB319961D,TGLWHSPLWZ,1990-01-01,,RichcBulk
AB750792D,UMAQOKHKNL,1990-01-01,,RichcBulk
AB870962D,BHOTFOJSTL,1990-01-01,,RichcBulk
AB835286D,TOFYPWRIXU,1990-01-01,,RichcBulk
AB397363D,FNUZMWSERQ,1990-01-01,,RichcBulk
AB380728D,KFEGOANZDY,1990-01-01,,RichcBulk
AB291429D,AZVOSZZKLX,1990-01-01,,RichcBulk
AB945331D,VFCHBBIHAP,1990-01-01,,RichcBulk
AB392700D,DXECOIANDW,1990-01-01,,RichcBulk
AB763157D,SVPTFWBDRY,1990-01-01,,RichcBulk
AB874627D,LCTUKYYCJF,1990-01-01,,RichcBulk
AB165806D,JYXCWQVIWA,1990-01-01,,RichcBulk
AB750130D,MROTYWIJEL,1990-01-01,,RichcBulk
AB542344D,KSRYNAHBJM,1990-01-01,,RichcBulk
AB384745D,ILPPASFZVQ,1990-01-01,,RichcBulk
AB283593D,JFBATTEZBP,1990-01-01,,RichcBulk
AB215097D,FZUHNHRYMN,1990-01-01,,RichcBulk
AB966608D,LEHBPJGUMB,1990-01-01,,RichcBulk
AB372891D,RLEAMHEFNA,1990-01-01,,RichcBulk
AB683334D,DYUMUYKFID,1990-01-01,,RichcBulk
AB451508D,OOCAIEYQAD,1990-01-01,,RichcBulk
AB486922D,QGKVJRZAXH,1990-01-01,,RichcBulk
AB552053D,KBUJYUTVFM,1990-01-01,,RichcBulk
AB293134D,LGJQZXPLNP,1990-01-01,,RichcBulk
AB490317D,RONUWAZNLW,1990-01-01,,RichcBulk
AB286456D,ULIZFKNNXR,1990-01-01,,RichcBulk
AB301223D,PAHOXRCIJJ,1990-01-01,,RichcBulk
AB869521D,FYGCPUECBU,1990-01-01,,RichcBulk
AB362948D,KFYHCSWJXJ,1990-01-01,,RichcBulk
AB337186D,JVFBYHSYUO,1990-01-01,,RichcBulk
AB770394D,TUHRSKORDX,1990-01-01,,RichcBulk
AB953250D,WNYTBUSNID,1990-01-01,,RichcBulk
AB369250D,RNMXLOCZRU,1990-01-01,,RichcBulk
AB729968D,BDMIFRQZMT,1990-01-01,,RichcBulk
AB913708D,MUDTLXDGBZ,1990-01-01,,RichcBulk
AB732458D,GUWIFMMYJS,1990-01-01,,RichcBulk
AB597877D,PPRRMINRKB,1990-01-01,,RichcBulk
AB450848D,SGCLVGMYQI,1990-01-01,,RichcBulk
AB846433D,PVCAKNGIJP,1990-01-01,,RichcBulk
AB548890D,JFUDQUJNCG,1990-01-01,,RichcBulk
AB208811D,QDBTOAPOUY,1990-01-01,,RichcBulk
AB224727D,VDSLOGXTUO,1990-01-01,,RichcBulk
AB589954D,PVAXVOSKNG,1990-01-01,,RichcBulk
AB325978D,DQILDPUDFY,1990-01-01,,RichcBulk
AB383505D,QCCBCLOEIA,1990-01-01,,RichcBulk
AB486572D,DIBDNOOPKX,1990-01-01,,RichcBulk
AB212293D,NYJKOKRHNX,1990-01-01,,RichcBulk
AB661381D,GKGLUWPUFM,1990-01-01,,RichcBulk
AB352594D,UUEOFMWVOL,1990-01-01,,RichcBulk
AB244940D,ECWUZWBEFH,1990-01-01,,RichcBulk
AB831471D,WFZDJKAISF,1990-01-01,,RichcBulk
AB625736D,IQZAJHDLES,1990-01-01,,RichcBulk
AB855659D,SZJEWMMTUW,1990-01-01,,RichcBulk
AB943135D,EAFSRQPAYH,1990-01-01,,RichcBulk
AB568741D,EMUNEAJPIX,1990-01-01,,RichcBulk
AB258306D,RRDWLZBBRL,1990-01-01,,RichcBulk
AB812120D,KPFWKWHESS,1990-01-01,,RichcBulk
AB823990D,LTIZRWPDIK,1990-01-01,,RichcBulk
AB103620D,PJCELREUZB,1990-01-01,,RichcBulk
AB120634D,PHFODTJYLN,1990-01-01,,RichcBulk
AB222426D,FPXSFBNAZY,1990-01-01,,RichcBulk
AB459746D,MODKNQAJMU,1990-01-01,,RichcBulk
AB639223D,LWABKRNELS,1990-01-01,,RichcBulk
AB602680D,WFVGKIBAMC,1990-01-01,,RichcBulk
AB269175D,VOVJWDRZIC,1990-01-01,,RichcBulk
AB806211D,YQAGZDGVDQ,1990-01-01,,RichcBulk
AB340402D,XMAITTLCRS,1990-01-01,,RichcBulk
AB505731D,XUGOLQBNHS,1990-01-01,,RichcBulk
AB768235D,QYLBVYEPJG,1990-01-01,,RichcBulk
AB875609D,TOYDRWRVOX,1990-01-01,,RichcBulk
AB608962D,FBVJAGJOBW,1990-01-01,,RichcBulk
AB518658D,VPNJASWGNH,1990-01-01,,RichcBulk
AB357738D,GNDQJULGVB,1990-01-01,,RichcBulk
AB210082D,KTXYUKFMJS,1990-01-01,,RichcBulk
AB727524D,VSAULEAUXQ,1990-01-01,,RichcBulk
AB690896D,PRIFCWMTPT,1990-01-01,,RichcBulk
AB124534D,MSXTSRODZU,1990-01-01,,RichcBulk
AB906930D,JYEQGEEKOK,1990-01-01,,RichcBulk
AB335298D,VOTMXNHOPE,1990-01-01,,RichcBulk
AB167375D,UBJLBOXIQD,1990-01-01,,RichcBulk
AB464165D,OTATTHVXAB,1990-01-01,,RichcBulk
AB604193D,NMNHWLTWIS,1990-01-01,,RichcBulk
AB682252D,PBYDCQTEIK,1990-01-01,,RichcBulk
AB106988D,LEXHSEAKHL,1990-01-01,,RichcBulk
AB390073D,BDLEJRTGSM,1990-01-01,,RichcBulk
AB789931D,THEMRJENAF,1990-01-01,,RichcBulk
AB177580D,ZXZAQOKSMK,1990-01-01,,RichcBulk
AB105937D,MXHKSHUSCI,1990-01-01,,RichcBulk
AB740119D,GCHAPDIHOM,1990-01-01,,RichcBulk
AB156249D,ZWSTQZHAMX,1990-01-01,,RichcBulk
AB762232D,OTAUTHMMLJ,1990-01-01,,RichcBulk
AB140155D,USOMTSYGFB,1990-01-01,,RichcBulk
AB807323D,UBCYDVOACD,1990-01-01,,RichcBulk
AB412144D,KWZLRBRHCR,1990-01-01,,RichcBulk
AB437164D,LONHPRKBKY,1990-01-01,,RichcBulk
AB242005D,XBJMPLCAQU,1990-01-01,,RichcBulk
AB906104D,RJGAIRKULT,1990-01-01,,RichcBulk
AB716629D,BXGELOOFXY,1990-01-01,,RichcBulk
AB929482D,RVNBXOFMBK,1990-01-01,,RichcBulk
AB989945D,FZWMGWAPPP,1990-01-01,,RichcBulk
AB672451D,XHMIQEUTDW,1990-01-01,,RichcBulk
AB551567D,FPILCYAVWA,1990-01-01,,RichcBulk
AB489577D,OLCEMBLSGR,1990-01-01,,RichcBulk
AB930809D,BYQXJYUJMX,1990-01-01,,RichcBulk
AB312390D,EUCYFBLBGO,1990-01-01,,RichcBulk
AB456212D,LXVSORYEJI,1990-01-01,,RichcBulk
AB754850D,LTBSVLMIAU,1990-01-01,,RichcBulk
AB962499D,VUHBHIDLUP,1990-01-01,,RichcBulk
AB673484D,PLVMHTTXVY,1990-01-01,,RichcBulk
AB149315D,UHKDAFJOVA,1990-01-01,,RichcBulk
AB907765D,UFPSOHKUOO,1990-01-01,,RichcBulk
AB583467D,YCQVWFQTZV,1990-01-01,,RichcBulk
AB835009D,PSWSYLBLST,1990-01-01,,RichcBulk
AB907995D,HKNHAWOQHV,1990-01-01,,RichcBulk
AB802968D,YJQACKHRRH,1990-01-01,,RichcBulk
AB677497D,LBZKDGYQAI,1990-01-01,,RichcBulk
AB759564D,DUNQNYAMDM,1990-01-01,,RichcBulk
AB689041D,RCTUAMTMZF,1990-01-01,,RichcBulk
AB466779D,RQUIBIXMNQ,1990-01-01,,RichcBulk
AB309135D,ARJDCTPSCJ,1990-01-01,,RichcBulk
AB887155D,JNDUMVDEVF,1990-01-01,,RichcBulk
AB772686D,OHPRPEBMPB,1990-01-01,,RichcBulk
AB880046D,BJGZGMRBMC,1990-01-01,,RichcBulk
AB155237D,ZRLVFXEMQW,1990-01-01,,RichcBulk
AB726256D,WXKSATSAGS,1990-01-01,,RichcBulk
AB354390D,HIKSYDPVGC,1990-01-01,,RichcBulk
AB563220D,UTPDYXMIAR,1990-01-01,,RichcBulk
AB979941D,RNAWXZETFO,1990-01-01,,RichcBulk
AB688109D,HAONVLBRJG,1990-01-01,,RichcBulk
AB577863D,USYTOAYWKX,1990-01-01,,RichcBulk
AB857851D,FSFSXQSCVP,1990-01-01,,RichcBulk
AB770547D,SXWIEZQTWM,1990-01-01,,RichcBulk
AB936574D,VAEZDNELFJ,1990-01-01,,RichcBulk
AB604082D,LPDWINIJHX,1990-01-01,,RichcBulk
AB131577D,OAXFRFJMFL,1990-01-01,,RichcBulk
AB324847D,WCFWMZDQQZ,1990-01-01,,RichcBulk
AB230911D,IURUGNCFEC,1990-01-01,,RichcBulk
AB104381D,IJXHEYOPOB,1990-01-01,,RichcBulk
AB602409D,AUHXKRKQTT,1990-01-01,,RichcBulk
AB435735D,CQAGRDHTTG,1990-01-01,,RichcBulk
AB917766D,USSKLJVERT,1990-01-01,,RichcBulk
AB126761D,QCWKKOTQKQ,1990-01-01,,RichcBulk
AB410312D,BMXMDNTKRE,1990-01-01,,RichcBulk
AB433503D,YMUESJIMKQ,1990-01-01,,RichcBulk
AB530288D,IJYWFFZPOU,1990-01-01,,RichcBulk
AB630158D,GPUTOIWESU,1990-01-01,,RichcBulk
AB890293D,NIPSMJFXLD,1990-01-01,,RichcBulk
AB347009D,WPRQGIROSW,1990-01-01,,RichcBulk
AB161658D,NMXWYNYBAI,1990-01-01,,RichcBulk
AB290538D,QLUMYDHBVL,1990-01-01,,RichcBulk
AB730775D,QIRTKKQDKJ,1990-01-01,,RichcBulk
AB901195D,HZRQXDUBDF,1990-01-01,,RichcBulk
AB188794D,LEGACKUDWK,1990-01-01,,RichcBulk
AB461234D,JOZLTTCKOA,1990-01-01,,RichcBulk
AB911378D,ZXAVSSDCLV,1990-01-01,,RichcBulk
AB180091D,UPLXLIRJQL,1990-01-01,,RichcBulk
AB583014D,YQRCIUERLP,1990-01-01,,RichcBulk
AB899887D,DWCLAOQXES,1990-01-01,,RichcBulk
AB434186D,YMHVQLAXRM,1990-01-01,,RichcBulk
AB737858D,QXDIQKCIVX,1990-01-01,,RichcBulk
AB389747D,HVDMYNOSPN,1990-01-01,,RichcBulk
AB183857D,DUVCWRQBLN,1990-01-01,,RichcBulk
AB836761D,UMTOTQZWDB,1990-01-01,,RichcBulk
AB767825D,KZZTNSLCPW,1990-01-01,,RichcBulk
AB515475D,QKRUFBSKZJ,1990-01-01,,RichcBulk
AB483938D,UALRAENTJQ,1990-01-01,,RichcBulk
AB501158D,BWGJJHSGTE,1990-01-01,,RichcBulk
AB295414D,RBWXZPNGXQ,1990-01-01,,RichcBulk
AB583262D,YHRGETXYPT,1990-01-01,,RichcBulk
AB734551D,KKRSTZRIKF,1990-01-01,,RichcBulk
AB711725D,BAVGAXGEYW,1990-01-01,,RichcBulk
AB274587D,ARIYRTJBGP,1990-01-01,,RichcBulk
AB438981D,FUSTXJACWS,1990-01-01,,RichcBulk
AB317498D,MBPVQCCPIU,1990-01-01,,RichcBulk
AB233844D,TAMEFJYELF,1990-01-01,,RichcBulk
AB792465D,SNIHHCVWCZ,1990-01-01,,RichcBulk
AB736071D,LWCBEMHFLU,1990-01-01,,RichcBulk
AB705194D,SMKOUZEDBN,1990-01-01,,RichcBulk
AB813096D,SEFXACAQAU,1990-01-01,,RichcBulk
AB836438D,OXIUITILDH,1990-01-01,,RichcBulk
AB668182D,XDOUZWMHQA,1990-01-01,,RichcBulk
AB960629D,RIKMOLFVGR,1990-01-01,,RichcBulk
AB656355D,FZTOYFTNII,1990-01-01,,RichcBulk
AB612382D,FGBACNDBTK,1990-01-01,,RichcBulk
AB272539D,MIIQZUHZOQ,1990-01-01,,RichcBulk
AB363741D,JQTKIETIRH,1990-01-01,,RichcBulk
AB968203D,DPHISKGAGP,1990-01-01,,RichcBulk
AB442270D,ZJJOAJXTRE,1990-01-01,,RichcBulk
AB704085D,IQYEMIUKEP,1990-01-01,,RichcBulk
AB565409D,AGQJQOOBWY,1990-01-01,,RichcBulk
AB527901D,DGBXSCJNYK,1990-01-01,,RichcBulk
AB178791D,YBTUAQRIIY,1990-01-01,,RichcBulk
AB732760D,VDQJGXKPZQ,1990-01-01,,RichcBulk
AB927335D,XYPJKAKXVY,1990-01-01,,RichcBulk
AB697271D,JZBQTAPLKV,1990-01-01,,RichcBulk
AB245620D,GFHZNKYSGR,1990-01-01,,RichcBulk
AB588044D,TGFOLRNFMS,1990-01-01,,RichcBulk
AB329181D,KRVKYXFLEY,1990-01-01,,RichcBulk
AB131407D,RHYBJIGQUL,1990-01-01,,RichcBulk
AB670984D,JHIVKWLOJF,1990-01-01,,RichcBulk
AB160213D,SUWYYXQTHS,1990-01-01,,RichcBulk
AB221828D,QDYYPEQLXW,1990-01-01,,RichcBulk
AB677226D,NAKRGJBPQK,1990-01-01,,RichcBulk
AB463612D,WSJXCHPVBI,1990-01-01,,RichcBulk
AB685221D,AOXUCNTFLY,1990-01-01,,RichcBulk
AB946103D,NLPJMEJVGK,1990-01-01,,RichcBulk
AB122506D,ISKXYCPWNR,1990-01-01,,RichcBulk
AB583431D,FEWTTINTWY,1990-01-01,,RichcBulk
AB625986D,XACGLGEICL,1990-01-01,,RichcBulk
AB445396D,FFJBOLEKKM,1990-01-01,,RichcBulk
AB339672D,XZMIUIDSCU,1990-01-01,,RichcBulk
AB266706D,NCUILNLYOD,1990-01-01,,RichcBulk
AB107801D,QXODOWTPZO,1990-01-01,,RichcBulk
AB175918D,CTXTYBUAPN,1990-01-01,,RichcBulk
AB795095D,CLHVBASLMR,1990-01-01,,RichcBulk
AB847189D,PDGAEFPJLW,1990-01-01,,RichcBulk
AB535827D,ODEZYYULNM,1990-01-01,,RichcBulk
AB207421D,WMUYRVPRST,1990-01-01,,RichcBulk
AB448870D,VYAISTTFEQ,1990-01-01,,RichcBulk
AB197811D,OLCNFBOSVD,1990-01-01,,RichcBulk
AB402154D,EZQSMPJYXO,1990-01-01,,RichcBulk
AB465042D,EOGURCCBGV,1990-01-01,,RichcBulk
AB110788D,NJIKJQLAZI,1990-01-01,,RichcBulk
AB667621D,IKFXKABOUU,1990-01-01,,RichcBulk
AB927880D,OMJYNYICER,1990-01-01,,RichcBulk
AB761682D,VCTFGXLWBO,1990-01-01,,RichcBulk
AB912775D,WYYRVIVDNR,1990-01-01,,RichcBulk
AB135971D,PZFCUXVSWF,1990-01-01,,RichcBulk
AB975879D,NUAMEIWVMA,1990-01-01,,RichcBulk
AB261216D,BSOKGOHBMW,1990-01-01,,RichcBulk
AB990715D,NQWSIKGOPA,1990-01-01,,RichcBulk
AB622343D,UDNKXDDAVV,1990-01-01,,RichcBulk
AB331604D,LIUIWJKKST,1990-01-01,,RichcBulk
AB771132D,XNRYUOQVWP,1990-01-01,,RichcBulk
AB515427D,QKMFKISVJS,1990-01-01,,RichcBulk
AB835525D,HYSDAYCVXZ,1990-01-01,,RichcBulk
AB868152D,SGSVYIPGKX,1990-01-01,,RichcBulk
AB968009D,HSMRVBWKBI,1990-01-01,,RichcBulk
AB743251D,QKCWYJSKRQ,1990-01-01,,RichcBulk
AB238370D,DVIHTBOLWS,1990-01-01,,RichcBulk
AB767530D,VUPLRJRCQV,1990-01-01,,RichcBulk
AB698296D,MGXOZVNZAU,1990-01-01,,RichcBulk
AB784567D,RPVYFZYRGY,1990-01-01,,RichcBulk
AB369547D,NJHRZCAGVJ,1990-01-01,,RichcBulk
AB239419D,BKUOYNKGMY,1990-01-01,,RichcBulk
AB970438D,TQUMSYTJCI,1990-01-01,,RichcBulk
AB346597D,LEWVAXEYFM,1990-01-01,,RichcBulk
AB523738D,PNVCAYXYWD,1990-01-01,,RichcBulk
AB650693D,NPOVMRBWRR,1990-01-01,,RichcBulk
AB560568D,WOSNZAJZYS,1990-01-01,,RichcBulk
AB774110D,ZLDOBONBTP,1990-01-01,,RichcBulk
AB484058D,HWCOLXEOLI,1990-01-01,,RichcBulk
AB609555D,RDOCERKFRF,1990-01-01,,RichcBulk
AB456656D,UMHHTCQKYQ,1990-01-01,,RichcBulk
AB458512D,PHIBUNTWKS,1990-01-01,,RichcBulk
AB240293D,WOUECAVYHN,1990-01-01,,RichcBulk
AB984791D,EGAHHLHNES,1990-01-01,,RichcBulk
AB193862D,RVKODEHXGG,1990-01-01,,RichcBulk
AB906316D,DORPDUNUTF,1990-01-01,,RichcBulk
AB148690D,JTFQIHNRHL,1990-01-01,,RichcBulk
AB137369D,DPCQNDNPHU,1990-01-01,,RichcBulk
AB813460D,XCEBEFCFEV,1990-01-01,,RichcBulk
AB490068D,KPGNVHFGBT,1990-01-01,,RichcBulk
AB502428D,BPENMUWNPM,1990-01-01,,RichcBulk
AB709960D,ATOZHVXBFT,1990-01-01,,RichcBulk
AB401887D,XUVQXORMYY,1990-01-01,,RichcBulk
AB759728D,CSHTCNYIBP,1990-01-01,,RichcBulk
AB500302D,SFPBVKFCRJ,1990-01-01,,RichcBulk
AB169378D,YKPWTGCAZX,1990-01-01,,RichcBulk
AB444073D,CKUQOJCUHD,1990-01-01,,RichcBulk
AB171415D,JQYWHSBZDN,1990-01-01,,RichcBulk
AB556094D,UZHDOZJWIT,1990-01-01,,RichcBulk
AB288838D,ESWBERGMVC,1990-01-01,,RichcBulk
AB203066D,TGERPBWQJL,1990-01-01,,RichcBulk
AB770551D,XJBXWTIKQY,1990-01-01,,RichcBulk
AB746038D,YOUGWDLRQY,1990-01-01,,RichcBulk
AB423224D,ZXEYGNJRLR,1990-01-01,,RichcBulk
AB896447D,FPEXJYSBIU,1990-01-01,,RichcBulk
AB629310D,GFOISAYPKA,1990-01-01,,RichcBulk
AB374908D,MCBHWBPBSL,1990-01-01,,RichcBulk
AB787350D,XJVMHOSWBH,1990-01-01,,RichcBulk
AB792743D,XFBXJAGDSM,1990-01-01,,RichcBulk
AB854486D,RADCFJLRZO,1990-01-01,,RichcBulk
AB781281D,LKBTHBSOLE,1990-01-01,,RichcBulk
AB520510D,BTXSDOPJJH,1990-01-01,,RichcBulk
AB744117D,BOWXFRAJFC,1990-01-01,,RichcBulk
AB925658D,LYUDMEAGZF,1990-01-01,,RichcBulk
AB726756D,ZUKIFNOYKL,1990-01-01,,RichcBulk
AB754637D,HBJCMVXOCE,1990-01-01,,RichcBulk
AB340889D,WUMQWIKKJQ,1990-01-01,,RichcBulk
AB185277D,DUASRNJJAC,1990-01-01,,RichcBulk
AB958164D,ENAPQJZRWD,1990-01-01,,RichcBulk
AB491211D,ZGHIIPZKXV,1990-01-01,,RichcBulk
AB969386D,JKRGKIULYM,1990-01-01,,RichcBulk
AB520259D,DOCDVLLONK,1990-01-01,,RichcBulk
AB229516D,YGOUFOHSNK,1990-01-01,,RichcBulk
AB899010D,MLIMFFSSVN,1990-01-01,,RichcBulk
AB353226D,FNGBEIMSDX,1990-01-01,,RichcBulk
AB967428D,SKVJOSNPPM,1990-01-01,,RichcBulk
AB153867D,GNEPAVRRSE,1990-01-01,,RichcBulk
AB422309D,ESVQIEKYMY,1990-01-01,,RichcBulk
AB741577D,AJDITBVYXL,1990-01-01,,RichcBulk
AB167773D,TSMVDYVYTX,1990-01-01,,RichcBulk
AB926459D,DKBHIXBPFI,1990-01-01,,RichcBulk
AB364048D,ETGMQKAACG,1990-01-01,,RichcBulk
AB988553D,OHJIQVMWFL,1990-01-01,,RichcBulk
AB120603D,BEKBGHFXSD,1990-01-01,,RichcBulk
AB548197D,UILWAAQGAU,1990-01-01,,RichcBulk
AB171700D,QNYMOAHYCR,1990-01-01,,RichcBulk
AB759134D,FOHYUNLLOW,1990-01-01,,RichcBulk
AB588279D,ZZVLMJFKQF,1990-01-01,,RichcBulk
AB722949D,HTHBZRELWU,1990-01-01,,RichcBulk
AB538044D,BTSPIUUVSF,1990-01-01,,RichcBulk
AB966483D,ZXABVDMPXU,1990-01-01,,RichcBulk
AB880800D,EEYQPLJKLK,1990-01-01,,RichcBulk
AB829660D,QPELRHIUJM,1990-01-01,,RichcBulk
AB336146D,CZUCSMFMOI,1990-01-01,,RichcBulk
AB411386D,CSVBYJBXRS,1990-01-01,,RichcBulk
AB299223D,LFXLZYKFZX,1990-01-01,,RichcBulk
AB807985D,CTBXHXSSAA,1990-01-01,,RichcBulk
AB414459D,ERMUFBQXFL,1990-01-01,,RichcBulk
AB311440D,ZQVHGCHGYN,1990-01-01,,RichcBulk
AB696891D,BZWUVMWISK,1990-01-01,,RichcBulk
AB865335D,GCZDYEGKSY,1990-01-01,,RichcBulk
AB915588D,JSTEDQQQDL,1990-01-01,,RichcBulk
AB532789D,DSERXIJJEZ,1990-01-01,,RichcBulk
AB985237D,KLMPEXFFJN,1990-01-01,,RichcBulk
AB251026D,EKIWLIGWFO,1990-01-01,,RichcBulk
AB590815D,NBGKUDPGTS,1990-01-01,,RichcBulk
AB903754D,XEGLZSUVBU,1990-01-01,,RichcBulk
AB911965D,GUTERRDDQZ,1990-01-01,,RichcBulk
AB889894D,TQECXFPRWA,1990-01-01,,RichcBulk
AB541327D,VPEAUYVHTX,1990-01-01,,RichcBulk
AB254396D,DABKYFHPXW,1990-01-01,,RichcBulk
AB367225D,TSHVIVLRWY,1990-01-01,,RichcBulk
AB390218D,IFPMWSIUMV,1990-01-01,,RichcBulk
AB376220D,PBEVKTLKIQ,1990-01-01,,RichcBulk
